1, 581.936679,-1565228180.688655,302.438522
2, 298.081655,-1565228483.127950,155.226710
5, 138.031785,-1565228638.355365,71.473301
10, 84.254887,-1565228709.829363,43.429663
20, 54.165485,-1565228753.259793,27.698882
30, 26.711931,-1565228780.959370,13.700496
40, 21.263984,-1565228794.660567,10.823232
50, 16.548450,-1565228805.484485,8.415481
60, 14.825686,-1565228813.900959,7.551818
70, 13.560271,-1565228821.454135,6.885144
80, 12.659167,-1565228828.339972,6.426889
90, 11.839425,-1565228834.767624,6.031556
100, 11.463148,-1565228840.799967,5.831017
